date,AIG,BAC,BCS,C,CS,GS,JPM,LFC,MET,MS,RBS,SAN,TD,V,WFC
20100526,0.070778,-0.001291,0.001188,0.021164,-0.030015,-0.015853,-0.004109,-0.014172,0.00102,0.016086,0.016667,0.012458,0.0153,0.005893,-0.029758
20100527,-0.029621,0.045895,0.078292,0.041451,0.053689,0.035638,0.04229,0.042812,0.054777,0.042593,0.078845,0.055537,0.021214,0.003951,0.048859
20100528,-0.031939,-0.027194,-0.030803,-0.014925,-0.028865,-0.00476,-0.020782,-0.008484,-0.021981,-0.019884,-0.030391,-0.022212,-0.019054,-0.016692,-0.024481
20100601,0.02365,-0.01906,-0.009648,-0.027778,-0.026363,-0.016637,-0.026276,-0.02246,-0.016053,-0.036149,-0.000746,-0.009666,-0.019425,-0.013387,-0.016033
20100602,0.003993,0.029793,0.010315,0.018182,0.032652,0.020936,0.026206,0.028759,0.043675,0.040184,0.002987,0.04913,0.023235,-0.003357,0.033652
20100603,-0.012784,-0.005035,-0.002269,0.010204,-0.002828,-0.005455,-0.011378,-0.012002,-0.005051,-0.012141,-0.005957,-0.016902,-0.002911,0.022316,-0.010966
20100604,-0.019281,-0.029096,-0.06481,-0.042929,-0.058005,-0.012427,-0.037852,-0.014301,-0.069857,-0.03203,-0.07191,-0.00347,-0.034744,-0.009747,-0.037422
20100607,0.006749,-0.033876,-0.013982,-0.039578,0.003284,-0.025097,-0.023923,-0.009204,-0.015852,-0.026933,-0.012107,-0.01931,-0.008167,-0.003327,-0.017639
20100608,-0.002623,0.033715,0.003699,0.021978,0.021004,-0.00649,0.028867,0.012282,0.027198,0.011862,-0.004085,0.021788,0.014029,0.020309,0.017222
20100609,0.03156,-0.020874,-0.012285,0.040323,-0.009618,-0.007113,-0.01747,0.016643,-0.000771,-0.017976,-0.02297,-0.008529,-0.006165,0.006135,-0.026297
20100610,-0.006232,0.02998,0.064055,0.007752,0.036687,-0.022149,0.031519,0.016218,0.046566,0.018305,0.06885,0.025968,0.029203,0.049458,0.040695
20100611,0.057298,0.009056,-0.001169,-0.005128,0.026542,0.013979,-0.005223,0.004216,0.010324,0.016022,-0.023566,-0.001708,0.002646,-0.017689,-0.010309
20100614,0.0213,-0.01218,0.022235,0,-0.002788,-0.016219,-0.019953,-0.007496,-0.001217,-0.025769,0.008045,0.002644,0.01217,-0.030231,-0.015805
20100615,-0.000264,0.025243,0.055524,0.02835,0.034316,0.025929,0.024645,0.024622,0.015347,0.024477,0.063049,0.032733,0.035202,0.042695,0.018613
20100616,-0.002641,0.004494,-0.015727,0,-0.005161,0.001169,0.007059,0.001032,-0.016315,-0.006936,0.001502,0.042662,-0.00112,0.00312,0.007524
20100617,0.003707,-0.003151,0.017631,-0.007519,0.010128,0.001897,-0.002077,-0.010015,0.000732,-0.017462,0.036732,-0.009509,-0.003502,0.013865,-0.006757
20100618,0.022421,0,0.004331,0.012626,0.004647,0.006263,0.019251,0.002083,-0.000975,0.015008,0.002892,-0.000727,0.010685,-0.015337,0.005013
20100621,-0.012642,-0.001896,-0.006469,0.002494,0.001461,-0.003184,-0.007912,0.01633,0.005611,-0.003502,-0.019466,0.027365,0.001252,0.050104,-0.004631
20100622,-0.01202,-0.0133,-0.023332,-0.0199,-0.029412,-0.021417,-0.013892,-0.004966,-0.016012,-0.01679,0.003676,-0.006376,-0.013198,-0.026452,-0.01718
20100623,-0.027506,-0.009628,-0.002222,-0.01269,0.005009,0.002077,0.01461,0.009395,-0.010108,-0.005957,0.019048,-0.002567,-0.016754,-0.012697,-0.005098
20100624,0.004895,-0.026572,-0.041203,-0.028278,-0.043359,-0.000666,-0.022114,-0.014543,-0.01868,-0.030763,-0.024443,-0.025447,-0.016753,-0.016461,-0.016837
20100625,-0.015426,0.026631,-0.004646,0.042328,0.011982,0.034672,0.037076,0.012249,0.040863,0.030915,-0.001474,0.01951,0.003495,0.002354,0.007074
20100628,-0.051127,-0.011673,-0.001167,0.015228,0.00695,-0.021481,-0.022819,-0.002478,-0.023653,-0.019592,-0.03321,0.006619,-0.007111,-0.018784,-0.000739
20100629,-0.002318,-0.043963,-0.070093,-0.0675,-0.041922,-0.021221,-0.038402,-0.042824,-0.046454,-0.043638,-0.046565,-0.035306,-0.046331,-0.05012,-0.040696
20100630,-0.01626,-0.013727,-0.001884,0.008043,-0.001334,-0.018615,-0.012142,-0.004428,-0.011001,-0.010235,-0.031225,-0.005927,-0.005211,-0.009797,-0.012727
20100701,-0.023023,-0.024356,-0.001259,0.005319,0.020305,-0.00099,-0.013111,0.006442,-0.010063,-0.00517,0.006612,-0.005366,-0.00358,0.029823,-0.016406
20100702,0.018429,-0.012839,0.017013,0.002646,-0.002357,-0.000458,-0.006929,0.007315,-0.004815,-0.01126,-0.003284,0.028023,0.002652,0.004392,-0.011914
20100706,0.048354,0.015896,0.015489,0,0.032284,0.009002,0.013955,0.004085,0.003763,0.006132,0.00659,0.040379,0.031274,-0.012435,0.010852
20100707,0.00481,0.04623,0.09701,0.029024,0.053394,0.026992,0.050096,0.009643,0.033744,0.042664,0.090835,0.030125,0.021123,0.035284,0.06004
