Date,Lag Ret,Ret
2009-03-19,-0.000295,0.000985
2009-03-20,0.05975,-0.000295
2009-03-23,-0.010765,0.05975
2009-03-24,-0.000103,-0.010765
2009-03-25,0.03174,-0.000103
2009-03-26,-0.027487,0.03174
2009-03-27,-0.022087,-0.027487
2009-03-30,0.006029,-0.022087
2009-03-31,0.033961,0.006029
2009-04-01,0.036986,0.033961
2009-04-02,0.029101,0.036986
2009-04-03,0.021209,0.029101
2009-04-06,-0.029126,0.021209
2009-04-07,0.011478,-0.029126
2009-04-08,0.02794,0.011478
2009-04-09,0.005436,0.02794
2009-04-13,-0.015888,0.005436
2009-04-14,-0.005663,-0.015888
2009-04-15,0.032387,-0.005663
2009-04-16,0.016221,0.032387
2009-04-17,-0.023659,0.016221
2009-04-20,0.010456,-0.023659
2009-04-21,-0.002053,0.010456
2009-04-22,0.032014,-0.002053
2009-04-23,-0.011962,0.032014
2009-04-24,0.006699,-0.011962
2009-04-27,-0.006638,0.006699
2009-04-28,0.009992,-0.006638
2009-04-29,0.005514,0.009992
2009-04-30,0.011206,0.005514
2009-05-01,0.03796,0.011206
2009-05-04,0.004846,0.03796
2009-05-05,-0.001582,0.004846
2009-05-06,-0.025962,-0.001582
2009-05-07,0.001007,-0.025962
2009-05-08,0.002941,0.001007
2009-05-11,-0.039747,0.002941
2009-05-12,-0.039624,-0.039747
2009-05-13,0.028956,-0.039624
2009-05-14,-0.004311,0.028956
2009-05-15,0.034553,-0.004311
2009-05-18,0.006317,0.034553
2009-05-19,-0.012397,0.006317
2009-05-20,-0.013427,-0.012397
2009-05-21,-0.013529,-0.013427
2009-05-22,0.067592,-0.013529
2009-05-26,0.017357,0.067592
2009-05-27,0.015182,0.017357
2009-05-28,0.005479,0.015182
2009-05-29,0.026066,0.005479
2009-06-01,0.001005,0.026066
2009-06-02,0.010467,0.001005
2009-06-03,0.019794,0.010467
2009-06-04,0.00647,0.019794
2009-06-05,-0.005668,0.00647
2009-06-08,-0.007855,-0.005668
2009-06-09,-0.017307,-0.007855
2009-06-10,-0.002139,-0.017307
2009-06-11,-0.021293,-0.002139
2009-06-12,-0.006425,-0.021293
2009-06-15,0.001911,-0.006425
2009-06-16,-0.005647,0.001911
2009-06-17,0.002213,-0.005647
2009-06-18,0.026494,0.002213
2009-06-19,-0.015128,0.026494
2009-06-22,-0.024459,-0.015128
2009-06-23,0.016491,-0.024459
2009-06-24,0.026721,0.016491
2009-06-25,0.018447,0.026721
2009-06-26,-0.0033,0.018447
2009-06-29,0.00324,-0.0033
2009-06-30,0.002808,0.00324
2009-07-01,-0.019674,0.002808
2009-07-02,-0.01007,-0.019674
2009-07-06,-0.023159,-0.01007
2009-07-07,0.013442,-0.023159
2009-07-08,-0.006267,0.013442
2009-07-09,0.01584,-0.006267
2009-07-10,0.027577,0.01584
2009-07-13,-0.000492,0.027577
2009-07-14,0.032403,-0.000492
2009-07-15,0.004357,0.032403
2009-07-16,0.028674,0.004357
2009-07-17,0.007638,0.028674
2009-07-20,-0.009149,0.007638
2009-07-21,0.034519,-0.009149
2009-07-22,0.00689,0.034519
2009-07-23,0.013724,0.00689
2009-07-24,0.000713,0.013724
2009-07-27,-0.000625,0.000713
2009-07-28,0.000187,-0.000625
2009-07-29,0.017247,0.000187
2009-07-30,0.003686,0.017247
2009-07-31,0.018606,0.003686
2009-08-03,-0.005287,0.018606
2009-08-04,-0.002658,-0.005287
2009-08-05,-0.007268,-0.002658
2009-08-06,0.009761,-0.007268
2009-08-07,-0.004773,0.009761
2009-08-10,-0.011474,-0.004773
2009-08-11,0.015231,-0.011474
2009-08-12,0.018813,0.015231
2009-08-13,-0.009738,0.018813
2009-08-14,-0.043111,-0.009738
2009-08-17,0.027633,-0.043111
2009-08-18,0.003659,0.027633
2009-08-19,0.01051,0.003659
2009-08-20,0.017375,0.01051
2009-08-21,-0.000946,0.017375
2009-08-24,0.002011,-0.000946
2009-08-25,-0.011747,0.002011
2009-08-26,0.012186,-0.011747
2009-08-27,0.003541,0.012186
2009-08-28,-0.01082,0.003541
2009-08-31,-0.017312,-0.01082
2009-09-01,-0.000714,-0.017312
2009-09-02,0.008294,-0.000714
2009-09-03,0.022576,0.008294
2009-09-04,0.015384,0.022576
2009-09-08,-0.010351,0.015384
2009-09-09,0.008297,-0.010351
2009-09-10,-0.002318,0.008297
2009-09-11,0.009061,-0.002318
2009-09-14,0.008289,0.009061
2009-09-15,0.038308,0.008289
2009-09-16,0.014736,0.038308
2009-09-17,0.002547,0.014736
2009-09-18,-0.005405,0.002547
2009-09-21,0.0025,-0.005405
2009-09-22,0.005529,0.0025
2009-09-23,-0.009057,0.005529
2009-09-24,-0.007888,-0.009057
2009-09-25,0.020738,-0.007888
2009-09-28,-0.004147,0.020738
2009-09-29,-0.000162,-0.004147
2009-09-30,-0.024225,-0.000162
2009-10-01,0.022338,-0.024225
2009-10-02,0.006079,0.022338
2009-10-05,0.021427,0.006079
2009-10-06,0.001263,0.021427
2009-10-07,-0.005151,0.001263
2009-10-08,0.00634,-0.005151
2009-10-09,0.001785,0.00634
2009-10-12,-0.00414,0.001785
2009-10-13,0.006683,-0.00414
2009-10-14,-0.003816,0.006683
2009-10-15,-0.013172,-0.003816
2009-10-16,0.009625,-0.013172
2009-10-19,0.046877,0.009625
2009-10-20,0.030992,0.046877
