Date,Lead_GOOG,AMZN,CSCO,EBAY,FB,GOOG,IBM,INTC,MSFT,AAPL
2015-04-20,-0.002634,1.262090443,-0.266725016,-1.64324676,0.494743553,-0.141923754,0.992953808,-1.373024898,0.706182213,-0.031049589
2015-04-21,0.010104,0.74838236,1.169919251,1.003188916,1.034049731,-0.196695974,-1.398492596,-1.088655471,-0.696340769,-0.575355448
2015-04-22,0.014156,-1.702314344,-1.518349417,-0.101751843,0.936432581,0.60265798,0.026583984,0.302024119,0.282241126,1.172475815
2015-04-23,0.033016,-0.338466789,-0.264238591,1.586914385,-1.720559626,0.368589126,1.162856708,-0.917291552,0.0635552,0.058641139
2015-04-24,-0.01445,2.027020221,-0.459554112,-0.455776455,-0.746710799,0.050685087,-0.601152379,-0.704152845,1.355637486,-0.465996204
2015-04-27,-0.003043,-1.498132768,0.05598319,-0.333135786,0.258575576,-1.476076339,0.343352138,1.023833819,0.138853642,1.486746528
2015-04-28,-0.008308,-1.41214016,0.719351417,0.228544317,-1.052211004,-0.342780268,0.944492288,0.785471736,1.225266654,-1.095994978
2015-04-29,-0.021381,0.980997572,-0.69138505,-0.848444837,0.47922912,-0.530210942,1.449672561,0.224677781,0.610171903,-1.674708109
2015-04-30,0.001042,-0.278700216,1.198560383,0.766230653,-0.774044526,-0.820245471,-0.301508277,0.816379147,1.054109327,-1.66078102
2015-05-01,0.005354,-0.811798268,-0.120164889,0.530529312,-0.793318164,-0.948144302,0.188337906,1.323051682,-1.013045721,1.644552445
2015-05-04,-0.018455,0.296095827,0.546587738,-0.612485541,-0.395530138,1.573578774,0.637910227,0.269524595,-2.007862209,-0.307819273
2015-05-05,-0.012396,1.495006157,0.679056198,-0.925832746,-0.29864733,-0.703655787,1.378999494,-0.390921809,0.106361126,-1.340365303
2015-05-06,0.012361,0.308057324,1.086807526,0.034170143,1.50917198,-0.440775815,-0.198921044,-0.488320776,-1.9854834,0.175294064
2015-05-07,0.01417,1.74685084,-1.7856151,0.234122536,-0.3503506,0.843640361,-0.15130357,-0.843235893,0.365170325,-0.059278901
2015-05-08,-0.004682,0.263386847,0.065420178,0.079289402,-2.191630998,-0.031003954,-0.738664623,0.471260104,1.341719051,0.740223993
2015-05-11,-0.012432,1.166422573,1.542975515,-0.703720249,-0.165486954,0.341492146,-0.966375693,0.740584171,-0.643014986,-1.312876524
2015-05-12,0.001096,0.14100252,1.104040587,0.835299453,-0.412161213,-1.467131877,0.316830964,-1.668638723,0.887048293,0.263709996
2015-05-13,0.016578,-2.101061036,-0.14592679,0.515085976,1.070889085,-0.574310897,0.713831145,0.991305597,0.096525233,-0.566338312
2015-05-14,-0.008451,-0.263812058,-2.019752749,0.446432821,1.628870521,0.035593623,-0.447872927,-0.46045042,0.527496295,0.553494893
2015-05-15,-0.002903,-1.013622429,2.285055862,-0.69695347,-0.717115524,-0.382051289,0.024515487,0.559329554,-0.410319736,0.351161545
2015-05-18,0.009506,-0.709262475,0.650419229,-0.307673885,0.438308271,-0.880388763,-0.612917916,1.510485577,-1.338866521,1.249896484
2015-05-19,0.003554,-1.235431835,0.154731756,-0.346852534,-0.264683637,2.082440175,0.763452363,-1.138729663,-0.154379811,0.139453185
2015-05-20,0.006008,1.16455261,-1.474530845,-0.833084906,-0.628199006,0.710035616,0.13894561,1.617303347,-0.336177725,-0.3588447
2015-05-21,-0.004424,1.777092713,-1.312266391,0.733823871,-0.619916385,0.238592628,-0.813165179,0.161942267,-0.931261664,0.765158139
2015-05-22,-0.014423,-0.985780014,-0.397971427,0.518174813,0.700023359,-0.170323988,-0.513310551,0.072645875,-1.271854717,2.048396651
2015-05-26,0.014033,1.437536681,0.372131621,-0.793587551,-0.467086253,-0.363505206,0.075993599,0.42613213,1.137939551,-1.825554573
2015-05-27,-1.80E-05,-0.32570967,-0.741566333,-1.085251743,0.031122176,-0.312831528,-1.128715472,0.825274255,1.795964194,0.941714121
2015-05-28,-0.01421,-1.340608441,0.068177684,2.136267224,-0.646216676,-0.086367506,-0.272760403,0.91007462,-0.459935525,-0.308630979
2015-05-29,0.003533,0.838119787,0.177372233,1.444522399,-0.740231261,-0.939698939,-0.747274365,1.446348389,-0.785272349,-0.693885893
2015-06-01,0.009719,0.022613167,-0.796942829,1.55169399,0.997035095,-0.016935402,-0.056973434,-1.939446176,0.410169568,-0.17121398
2015-06-02,0.002096,0.494972786,0.036032121,-0.670345209,0.721054452,1.717066947,0.076056759,-1.920699578,-0.365109386,-0.089028891
2015-06-03,-0.006681,0.915242855,-0.2241791,-0.240663741,1.978817448,-0.066358935,-0.111759257,-1.717255147,-0.389565985,-0.144278138
2015-06-04,-0.006279,-0.759782324,-1.21358553,2.232731362,0.459600539,0.182371137,-0.156275241,-0.692109916,-0.354743059,0.301793033
2015-06-05,-0.012188,-0.697946071,0.369712644,2.124773662,0.661882448,-0.342332125,-0.279841007,-1.467989134,-0.133483812,-0.234776606
2015-06-08,-2.66E-04,0.688686347,0.414198218,-2.442766599,-0.351105617,0.25359459,0.241093779,-0.251946648,0.603405396,0.844840535
2015-06-09,0.018987,1.700764938,-0.095131877,-1.915326299,0.280873578,0.200084037,0.905322056,-0.204167385,-0.250332837,-0.622086211
2015-06-10,-0.003876,-0.430394999,-0.038916136,-2.265853273,0.538194302,0.621142897,0.712434484,0.501292605,0.948926223,-0.586826102
2015-06-11,-0.004265,1.342935159,1.815185031,-0.029643572,-0.960008634,-0.92441952,-0.155341294,0.291920478,-0.86661876,-0.514008888
2015-06-12,-0.009637,0.503371191,-0.503813959,0.486186282,1.344684603,1.195499661,-0.38351959,-1.886825615,-0.262976164,-0.492606409
2015-06-15,0.001802,-1.549503698,0.637382699,0.948463596,-0.761690008,-0.687656623,0.238200315,1.400049658,-0.88654441,0.661298471
2015-06-16,0.002102,0.901699968,0.743774617,0.978281859,-0.740247529,-1.745732052,-1.076334897,0.636242531,0.637036125,-0.334720622
2015-06-17,0.014114,-0.570631694,0.944644989,-0.75861536,1.263813211,-0.376944351,-0.406413346,1.489821386,-0.15046087,-1.435213967
2015-06-18,-7.40E-05,2.037259185,-0.306943636,-1.299893491,0.226062572,0.291037026,-0.740600937,0.202741866,0.587735727,-0.997398313
2015-06-19,0.002795,-0.655087977,-0.031951722,2.154074269,0.18523713,0.913860675,-0.238110239,-0.562029235,-1.136383444,-0.629609457
2015-06-22,0.004255,-0.42431678,-1.166544565,0.327649034,2.411230872,-0.466475318,-0.272189773,-0.0948864,-0.463506407,0.149039339
2015-06-23,-0.004884,1.122800422,-0.728644764,-0.173593724,2.11747658,-0.083668879,-0.013138273,-0.733275222,-0.833736038,-0.6742201
2015-06-24,-0.004853,-0.98673419,-0.738138045,-0.190927162,1.844617494,-0.155627257,-0.766951748,-0.226726005,-0.293583774,1.514070687
2015-06-25,-0.006614,0.378194717,-0.206678447,0.763636601,-1.829238466,-0.473749948,-0.601783219,1.501773913,0.917169162,-0.449324313
2015-06-26,-0.019128,0.400293057,0.436526154,-0.116284136,0.955147848,0.165175469,0.492409175,-2.527659205,-0.053926863,0.2483185
2015-06-29,-0.001937,0.522458763,-1.229263387,-1.493997694,-0.977861024,0.446514299,1.417603542,0.165115062,0.318908554,0.830521886
2015-06-30,0.002555,1.131835931,-0.77273879,1.851225708,-0.399594571,-0.628083763,-0.622853467,-0.215637609,-1.079532977,0.735379537
2015-07-01,0.002989,0.333284399,-0.304508556,-0.396473146,1.259050537,-0.479579501,0.920827001,-2.135425302,0.185110279,0.617714288
2015-07-02,-0.001032,-0.518484363,-0.69768177,2.280449297,-0.079616073,-0.242032861,-0.161314412,0.913747543,-0.732100411,-0.76296695
2015-07-06,0.004131,-0.085003545,-0.123055819,0.327954226,1.156406586,0.419279683,0.211079385,-2.447868544,0.565509135,-0.024301108
2015-07-07,-0.015599,0.329327324,1.310012532,0.899569504,-1.128566311,1.033100303,0.351217619,-1.372369469,-0.651905141,-0.770386362
2015-07-08,0.007449,-0.263638538,0.145588505,-0.247436291,-0.572604153,-0.187439853,0.526100675,0.168849156,2.097718606,-1.667138107
2015-07-09,0.018149,0.875238864,-0.257424795,1.028175797,0.203589471,0.592378986,0.329595141,-1.592399371,0.50097591,-1.680130002
2015-07-10,0.030974,0.638883528,-0.26139094,-0.763034559,1.025088227,0.285235338,0.381040944,-0.939113085,-1.718729649,1.352020197
2015-07-13,0.026622,1.118816812,-0.530423291,-0.735777655,0.58582713,1.852890728,-1.333983844,-0.432792625,-0.11272708,-0.411830175
2015-07-14,-0.001568,1.438511876,0.281556275,-0.304524501,-0.873835285,1.844380416,-0.863842804,-0.702659729,-0.316167914,-0.503418333
2015-07-15,0.03504,-1.932120924,0.472853145,-0.549584453,0.088041603,-0.394443816,-0.179875097,0.177674057,0.515021586,1.8024339
2015-07-16,0.160524,1.042177835,-1.066087166,1.302640106,-0.647195693,1.405749094,-0.421880139,-1.101771842,0.02749573,-0.541127925
