<<<<<<< HEAD
Date,Lag_.GSPC,X.GSPC,X.HSI,X.N225,X.DJI,X.GDAXI,JNJ,MSFT,GE
2014-01-27,0.006121875,-0.009837787,0.539348093,0.407870232,0.290486168,0.03226033,-0.342346347,-2.179190328,1.261409639
2014-01-28,-0.010261704,-0.439180431,-0.174373067,2.161151634,-0.491598228,-0.43539828,-0.990977584,-0.373503338,0.743879294
2014-01-29,0.011204044,-0.167752035,0.381071429,-1.630786802,-0.341188706,0.111305881,-0.484329482,1.940989914,0.190689801
2014-01-30,-0.00648629,0.921020088,0,-3,0.340973558,-0.071840956,0.309996166,0.134571898,0.520536241
2014-01-31,-0.023096605,0.183182639,0,-3,0.049878157,0.15272905,-0.042331219,1.633446762,-0.177091982
2014-02-03,0.007612043,0.405097163,-0.234894692,-1.593359883,0.620427282,1.438701095,0.79405694,-0.973971358,-0.456056547
2014-02-04,-0.002030282,0.775115153,-1.093735729,1.403787925,0.376003884,-1.146139845,-0.521616413,-0.75806696,0.964651985
2014-02-05,0.012363054,-0.161662965,1.179681902,-0.125724835,0.086162063,-0.051286827,1.236036629,-2.000525762,-0.162680205
2014-02-06,0.013214194,-0.506656872,-1.111063957,1.754132994,-0.566546073,0.214082193,0.569707181,-1.09278219,0.739126722
2014-02-07,0.001568005,0.554842594,-1.985346729,1.247062552,0.126591709,-0.777372459,0.749440785,0.112370087,-0.027588539
2014-02-10,0.011001376,0.015631744,1.442428958,-1.864497614,-0.080328407,-0.238963801,0.886963557,0.457687538,-0.618921976
2014-02-11,-2.69E-04,-0.516800684,0.186663128,-1.587720323,-0.293942293,1.272401177,1.373811296,-0.712229775,0.277817475
2014-02-12,0.005793212,0.255516558,-0.37858901,-1.942240666,0.050788755,1.082842675,-0.443018862,1.280135471,0.09456508
2014-02-13,0.004797689,0.577122609,0.602978585,-2.399818719,0.321961658,0.596791715,-0.024835919,0.286809494,0.038990578
2014-02-14,0,-0.365721543,1.117824282,-0.165735087,0.422973441,0.150573453,-1.040951119,-1.525260385,1.406296959
2014-02-17,0.001157803,0,0.635519565,-3,0,0.517157077,0,0,0
2014-02-18,-0.006545862,0.66237987,1.292468792,-1.123601052,-0.082502583,0.424294853,-1.461570585,0.939140074,-0.65060937
2014-02-19,0.006013342,0.110924771,-0.620231131,-1.922479025,0.239607547,0.991519534,0.215295534,1.309608131,-0.324245361
2014-02-20,-0.001920567,-0.096395885,0.079704595,2.179327206,-0.122062828,-1.141384289,0.109744824,-0.059375217,-0.949558407
2014-02-21,0.006167455,-0.061288994,-1.321891277,-0.053833988,-0.048081815,1.157976723,-0.115791729,1.598269657,-1.155358576
2014-02-24,-0.001348591,0.279628943,-0.853886722,1.266246804,0.311140005,0.182966626,-1.01102129,-1.39549928,1.220424915
2014-02-25,2.17E-05,-0.078062759,2.044212394,-1.348131661,-0.188050643,0.035682949,0.347720908,-0.911319336,0.097948149
2014-02-26,0.004935881,-0.195580758,2.37318855,-0.675818581,-0.026272893,-0.777736282,-0.198813454,-0.476880428,-0.022086155
2014-02-27,0.002778824,0.436885068,-0.294012207,-1.241063411,0.378562819,-1.580448152,0.084278068,1.307073365,0.90872445
2014-02-28,-0.007405866,0.177606321,-1.560794617,-1.36050021,0.200452824,0.965529332,0.721003566,1.069510942,-0.212808157
2014-03-03,0.015152323,0.142739821,1.250439924,1.077890301,-0.015760227,-1.984829609,0.243648517,-0.360694644,-0.353434083
2014-03-04,-5.34E-05,0.039396392,-2.17817636,-0.349141922,-0.09871286,1.131032322,0.528604998,0.204624343,0.722373088
2014-03-05,0.001716933,-0.13417353,0.490073613,1.666034087,-0.375774787,-0.687914286,-1.044719534,-1.018964543,1.105438981
2014-03-06,5.38E-04,-0.406197013,-1.208950749,1.25893351,0.051772851,-0.770203192,-0.066755569,-0.5555285,1.696928662
2014-03-07,-4.63E-04,0.759816896,-1.232777979,-0.411381184,0.906688769,-1.532262322,1.207834018,-0.021151129,0.323232931
2014-03-10,-0.005095097,0.14039457,0.28888295,1.753368405,-0.214076638,-1.776660226,0.549455952,-0.223251181,-0.518113832
2014-03-11,3.05E-04,0.074951014,-1.001661739,-1.89211108,0.166259418,0.974190013,0.589671676,1.04130915,0.047391549
2014-03-12,-0.011770092,0.446900813,-0.740331501,0.229895206,0.278949958,-1.793062111,0.594859474,1.50865959,-0.52587143
2014-03-13,-0.002825766,0.401977661,0.612163979,-2.187703529,0.106661799,-0.432181477,1.037883465,0.615248888,-0.154050785
2014-03-14,0.009567718,0.04615312,-0.013798631,-0.134864397,0.083791432,1.96590528,0.257208453,-0.549092262,-1.655302996
2014-03-17,0.007193682,-0.289755312,-1.959974418,-0.384463278,0.332743698,1.232971777,0.615538926,-0.411624536,0.864563143
2014-03-18,-0.006150525,-0.119960268,-0.747676773,-0.410214845,-0.25797337,-0.159788874,-0.684515001,2.3869693,-0.006840168
2014-03-19,0.006022334,0.34620068,-1.282726018,-1.082085022,0.229681314,1.694393864,0.676230444,0.215933723,-0.797628986
2014-03-20,-0.00293698,0.079625396,0.5505176,-1.864497614,0.132659008,-0.235918789,0.049809027,1.718444554,-0.430639182
2014-03-21,-0.004876581,-0.998614462,1.179049329,1.035951721,-0.878754754,-0.205961328,1.190392566,-1.126770755,-0.195292316
2014-03-24,0.004394271,-0.144617527,-0.195357774,0.033791096,0.315466207,-1.79672607,-0.53259777,1.724413657,0.595628181
2014-03-25,-0.007024937,-0.485349317,-0.152493146,-0.565677681,-0.340068596,0.947133357,1.73751309,-1.50287115,0.361813443
2014-03-26,-0.001901892,-0.61469328,-0.079967329,1.3719176,-0.502202799,1.571695974,-0.191442631,-1.396128732,-0.159178803
2014-03-27,0.004629489,-0.530560647,1.373612866,0.525153924,-0.284023178,-0.196561821,0.123423666,-1.90378231,0.892737502
2014-03-28,0.007892872,-0.433997039,-0.534658553,0.134836335,-0.568821695,0.843632207,-0.82912481,2.076352423,-0.688218868
2014-03-31,0.007014688,0.238110795,0.982075247,-1.170370123,0.281726704,-1.286193756,0.262987048,1.478757267,-0.787093183
2014-04-01,0.002849263,0.498696914,-0.264878379,1.200358106,-0.016601138,0.076392865,-1.580734387,1.212075529,-1.125309509
2014-04-02,-0.001127085,-0.103741083,-0.437836145,1.695344857,-0.237181561,-0.366356095,-0.06872584,-1.584668894,1.10316476
2014-04-03,-0.012616543,-0.140157462,-0.448854502,-0.001749125,0.118400464,0.258097354,0.196540584,-1.815894024,1.833616711
2014-04-04,-0.010808312,-0.322141783,0.294842419,-0.732407854,-0.052544578,1.479441945,0.990745312,-1.757787057,0.099851597
2014-04-07,0.003743538,-0.409038072,1.952998475,-0.744572738,-0.341225212,-1.378480183,0.211637727,0.629612402,0.0790676
2014-04-08,0.010859039,0.539114736,1.308849319,-2.173796587,0.201431221,-0.096280607,0.321113601,0.187350421,-0.287782104
2014-04-09,-0.021105968,0.334433577,1.044531052,-1.55079514,0.372058399,-1.270848597,0.016937498,1.262792981,-0.20910977
2014-04-10,-0.00953206,-0.417063087,1.206146824,-0.782214002,0.16615778,1.510946155,-0.854826217,-1.243540606,0.414393152
2014-04-11,0.008183708,-0.724631252,1.126452329,0.271583509,-0.620857543,-1.612710095,1.441998779,0.231733927,-0.113569652
2014-04-14,0.006734579,0.61921967,-2.207124156,0.38931794,0.725810313,-0.035780061,-0.009774734,-0.423143655,0.941474683
2014-04-15,0.010433868,-0.095809027,-0.492500841,1.513260258,-0.182065161,-1.825707423,0.905852022,0.446063413,-0.269093241
2014-04-16,0.001362924,0.357303616,-0.655161747,-1.032635467,0.290234664,1.0430858,-1.63628925,1.127339361,0.506123022
2014-04-17,0,0.134311272,0,-3,-0.053951666,0.80943971,0.195124767,-0.749569257,1.360016581
2014-04-18,0.003768016,0,0,-3,0,0,0,0,0
2014-04-21,0.004083789,0.486909163,-0.126207948,-3,0.330835564,0,1.295900324,-0.180844355,0.167588269
2014-04-22,-0.002215767,0.011788381,-1.587178449,0.796841244,-0.003538536,1.8520488,-0.251972875,-0.315107696,-0.502880869
2014-04-23,0.001715488,0.344197476,1.423616352,-1.435888275,0.685227741,-0.510922852,0.961174663,-0.909763088,-0.557642016
2014-04-24,-0.008129345,0.452116119,-2.344201477,0.44679333,0.16770243,0.245666802,-0.262920501,0.876302749,0.418540548
2014-04-25,0.003230812,-0.444251571,0.158273958,-0.697548582,-0.504484675,-1.551526146,0.517574348,0.959944254,1.562018414
2014-04-28,0.00474946,-0.419192664,0.632552707,-1.864497614,-0.222705764,-0.275868771,0.726375826,1.512148269,-0.08881199
2014-04-29,0.00298755,0.553342218,-1.591869241,0.144660333,0.609872839,1.64601837,-0.324205742,-0.973812386,-0.064006391
2014-04-30,-1.43E-04,0.514902123,0,-3,0.46839283,0.323104339,0.434521461,-0.584462555,0.872974606
2014-05-01,-0.001349355,0.646369097,1.403917666,-3,0.493248345,0,-0.310197313,-0.623384754,0.085844148
2014-05-02,0.001869467,1.055650845,-0.718825469,-1.864497614,0.83493434,0.503708775,-0.619266298,0.063897425,0.744397996
2014-05-05,-0.009029031,0.638373858,0,-3,0.52412013,-0.025044404,1.359760661,-0.566394818,-0.16435421
2014-05-06,0.005600755,0.325888572,0.136697278,-2.298614087,0.472961116,0.642843097,0.846809596,0.275414951,-0.402000524
2014-05-07,-0.001374569,-0.815865796,-1.221067815,0.215609306,-0.380151829,-0.798160508,1.553744805,0.195751034,1.250140802
2014-05-08,0.001518323,-0.631683209,-0.054227109,0.248433147,0.121224845,1.710297561,-1.240328209,0.934644076,-1.088361103
2014-05-09,0.009626256,-0.070396976,2.292027802,-0.791360163,-0.008233039,-0.673211605,0.294034225,-0.647694516,-0.395165728
2014-05-12,4.22E-04,0.028023753,-0.739040983,1.365082444,-0.370530624,0.431669804,-1.835270169,0.192295896,0.927769879
2014-05-13,-0.00471209,-0.750952271,0.792744812,-1.031489479,-0.629488241,0.021529726,-0.038145426,2.044187416,-0.408386537
2014-05-14,-0.009405904,-0.384146464,2.080775996,-0.993712364,-0.685847559,0.647546077,0.322830565,-0.329572178,-0.657874073
2014-05-15,0.003739962,-0.156402474,1.431495494,-1.040207452,-0.286604128,-0.290360655,1.247916868,-1.377664386,0.471826734
2014-05-16,0.003837414,0.811980455,-0.225619291,-1.751686276,0.549968674,-0.837673236,-0.408086527,1.329810841,0.53130536
2014-05-19,-0.006519605,0.644140302,1.268146986,0.997084088,-0.216305258,0.412884252,-0.431667818,-1.297030481,-1.377252072
2014-05-20,0.00808334,-0.489121878,1.173781191,0.560648324,-0.954130696,0.623184441,0.175207916,0.709342196,-1.798911494
2014-05-21,0.002359444,-0.404063216,-0.93961558,1.900860352,-0.121138752,-0.766101312,-0.267498761,1.161595721,-0.564038453
2014-05-22,0.004239393,0.136989307,-0.293075586,1.610421678,-0.274568685,0.140162709,0.795126391,-1.875419274,-0.23963654
2014-05-23,0,0.392683196,-0.875354415,1.969964075,0.268391493,0.565621033,-0.78368371,-0.696234703,-0.841386969
2014-05-26,0.00596995,0,0.048990574,-3,0,0.974604279,0,0,0
2014-05-27,-0.001114693,1.081775821,1.05380894,-0.328128658,0.377012675,0.641832649,-1.899360282,-0.56424816,-0.362692986
2014-05-28,0.005352759,0.149658977,-0.529304637,0.804017346,-0.355282048,0.485479084,-1.251187108,-1.044704061,1.741322448
2014-05-29,0.00184198,0.64444548,0.001469945,-1.847361121,0.238924322,-0.893063102,0.422393996,1.462203733,-0.029013252
2014-05-30,7.28E-04,0.042747241,0,-3,-0.034761109,-0.104362017,0.575704441,1.398143354,0.045485077
2014-06-02,-3.79E-04,-0.521497641,1.450611898,0.864226372,-0.318651021,-0.53072066,0.96204572,-1.566072295,-0.339942374
2014-06-03,0.001889877,0.420183183,-0.729996029,0.956111944,0.237424561,-0.12794364,1.077796562,-2.026070688,0.192494107
2014-06-04,0.006504082,0.643778116,-0.372308724,0.333316663,0.374685605,0.317250406,0.713684792,0.329821849,-2.340228706
2014-06-05,0.004617083,0.140437505,-1.490488867,-0.66877766,0.06352686,-0.392278405,-0.012862253,2.007121672,0.353321147
2014-06-06,9.38E-04,-0.236780268,0.343605768,-0.574895648,-0.101980818,-0.385368233,-1.349664444,0.188654639,2.116429004
2014-06-09,-2.46E-04,-0.030389825,1.217630445,-1.59297965,-0.001974,0.167617111,-0.12079778,-1.017688111,1.37858181
2014-06-10,-0.003543311,-0.303521807,-0.860483024,0.979142217,-0.20205726,0.25225011,1.8453723,-1.198583137,-0.512119399
2014-06-11,-0.007114139,1.346074124,1.345916263,-0.031908775,0.136637349,-0.768312667,-0.581084841,0.107474728,-1.554796181
2014-06-12,0.003129659,-0.672384218,1.371497271,1.688767725,-0.583260276,0.248167765,-0.758555303,-0.635872588,-0.658360376
2014-06-13,8.36E-04,0.249377754,-0.274921824,-1.633351049,0.162547218,-0.516626811,-0.168860379,1.954732401,0.227102689
2014-06-16,0.002170212,0.339816562,-0.776596477,0.789278929,0.223465469,-0.496684172,-0.020411155,1.607587108,-1.666456264
2014-06-17,0.007689243,0.013026452,-0.737666292,1.730744469,-0.11573038,0.374655202,-1.737308317,0.533358582,-0.061079716
2014-06-18,0.001276663,0.486325903,-0.924036184,1.917018483,0.168611158,-0.649853735,0.640591001,-0.943807596,-0.694849031
2014-06-19,0.001728564,-0.394047746,-0.422289784,-0.803453218,-0.474110135,0.832348305,1.29130818,-1.325480144,1.295724542
2014-06-20,-1.32E-04,0.122826698,-2.070203377,0.071623829,0.097466608,-0.277524563,1.561589645,0.40013425,0.09408691
2014-06-23,-0.006456107,0.235346642,0.831899905,0.336476642,0.158073526,-0.89311381,-0.597499229,1.538758753,-1.60994243
2014-06-24,0.004885558,-0.786612216,0.958599114,-0.995339834,-0.966394429,1.656400481,0.684248846,-0.570496623,0.019594661
2014-06-25,-0.001179579,0.15828288,1.42590761,-0.128333442,-0.102654826,-1.442695066,0.991534946,0.398501155,-1.300543256
2014-06-26,0.001909045,0.660063716,1.110376217,-1.972828274,0.641912959,-0.406233426,0.688467066,-0.61366057,-0.108097688
2014-06-27,-3.72E-04,-0.063526966,-0.651158022,0.395188213,-0.348644341,-0.22008527,-1.548055416,1.882062338,0.554219462
2014-06-30,0.006655573,0.695269736,0,-3,0.568636581,0.941934799,0.340286997,-0.735770391,0.097358026
2014-07-01,6.59E-04,-0.202436748,1.865816528,-1.106518521,0.037473214,-0.114167657,1.038655248,-0.817339258,-0.701482806
2014-07-02,0.00546455,-0.16624226,-0.662585546,-0.884329001,0.017687656,-0.084491589,-0.42749078,-0.146211233,2.353662752
2014-07-03,0,0.26515007,-0.603749242,0.320373578,0.254591964,1.413933211,-1.466925173,-1.147584056,0.964209646
2014-07-04,-0.003931239,0,0.80564073,-3,0,0.31356449,0,0,0
2014-07-07,-0.007073762,-0.418206513,0.219907272,-0.467648622,-0.200621218,-1.454113622,1.817501466,0.94924609,-0.446064853
2014-07-08,0.004633516,0.332102576,-1.320477314,1.548636748,0.359589026,-0.918905422,0.332973263,0.729549966,-1.063468842
2014-07-09,-0.004139628,0.917084094,0.423833422,-1.720965523,0.924204809,0.659356674,0.503609439,-0.94826394,-0.758858974
2014-07-10,0.001469842,0.014004773,0.816115427,0.155481676,0.009503808,-2.283787011,0.399329884,0.963749001,-0.074397558
2014-07-11,0.004831861,-0.437183136,0.104068064,0.719577598,-0.400827313,-0.552675634,-1.731161699,0.852159473,1.446042647
2014-07-14,-0.001933965,-0.153342798,-0.150575194,0.333623109,0.382194675,2.06026612,-0.824153417,-1.27927431,-0.368738185
2014-07-15,0.004192285,0.087594351,0.657942327,0.19887364,0.36385422,-0.477697334,-2.15408918,1.228924261,0.094597715
2014-07-16,-0.011904606,-0.270728174,-0.566609089,-0.600057982,-0.247223226,0.42474385,-1.27028672,2.036306188,0.493855153
2014-07-17,0.010212609,-0.380816733,0.652371796,-0.176412638,-0.103167668,-0.249251693,-1.103533638,2.126401321,-0.765590748
2014-07-18,-0.002322947,0.912547882,-0.313849666,-1.864497614,0.63433893,-0.368999871,1.280823341,0.292280334,-0.572643337
2014-07-21,0.005003611,-0.081574351,1.653360075,0.889333395,-0.128366353,-0.886456871,-0.345139443,0.434600564,-1.535757016
2014-07-22,0.001752901,-0.031646491,0.534127912,-1.177773232,-0.297906174,1.436248435,1.270720085,-1.036131776,-0.697638761
2014-07-23,4.88E-04,0.470915077,1.919085188,-0.79637071,-0.43827908,0.531204396,-0.756058001,0.235587547,-1.166084417
2014-07-24,-0.004860946,-0.117051656,0.312595441,1.671423798,-0.225338846,0.488541782,-0.181702125,-1.942272062,-0.006196332
2014-07-25,2.88E-04,-0.331854541,1.449226942,0.909107112,-0.643281588,-1.716898273,0.189242489,0.599173165,-0.454715306
2014-07-28,-0.004538068,0.199914554,1.422592055,0.99155372,0.347731689,-0.540053714,0.157719844,-1.597002713,-0.982455435
2014-07-29,6.09E-05,-0.913176472,1.089102244,0.625061961,-0.821148421,1.585961371,-0.168725001,-0.253944754,-1.143130926
2014-07-30,-0.020201932,0.143740503,0.339575507,-0.210200715,-0.26267898,-1.174043549,0.828400937,-1.353914935,1.689121232
2014-07-31,-0.002863216,-0.744336006,1.05816435,1.518680532,-0.542798114,-0.646445503,-1.010427929,0.964276912,-0.597114242
2014-08-01,0.007163315,0.099721276,0.765371692,0.067347813,-0.062372057,-2.074085137,0.21386206,-0.387551535,1.377705887
2014-08-04,-0.009732679,0.843691898,0.11810753,-1.550081605,0.48535182,-1.003558406,0.207670395,1.493851984,-0.595033617
2014-08-05,1.56E-05,-0.764060793,0.671564939,-0.925229255,-0.510461195,1.978100307,0.511409371,-0.155008385,-0.80631499
2014-08-06,-0.005572115,-0.121926865,-1.037964219,0.420230365,-0.027611748,-0.865957261,0.887168381,-1.026103821,1.772165168
2014-08-07,0.011465423,0.022835385,0.296718483,-2.046647281,0.106354751,-0.350449449,-0.161848837,1.445614165,0.687422783
2014-08-08,0.002755625,0.280118151,0.444269355,1.715543387,0.25795426,-1.472139284,0.277373885,-1.164303264,-0.33881649
2014-08-11,-0.001637982,-0.205533735,-0.366753848,-0.322447572,-0.494528575,2.397713183,-0.523331259,-0.651302663,0.16618447
2014-08-12,0.006684767,-0.094624384,1.277594544,0.621241298,0.055793372,-1.581303639,-0.603735434,1.175409874,-0.850375629
