Date,AIG,BAC,BCS,C,CS,GS,JPM,LFC,MET,MS,RBS,SAN,TD,V,WFC
2010-04-12,-0.025958,0.046215,1.204778,1.574079,0.796743,-0.994716,0.019026,-1.048046,0.445664,-0.466952,0.312864,-2.383483,0.074454,0.377928,0.041445
2010-04-13,-0.010212,0.508973,0.849754,-0.259487,1.011184,1.681169,-0.504012,0.272695,-0.166879,-1.88315,0.309167,-1.560447,0.894314,-0.256633,-0.896647
2010-04-14,0.006039,0.593872,0.836937,2.414583,-0.16829,0.108263,0.688094,-1.283671,-0.561174,-0.540561,0.030427,-1.545983,0.009099,-0.918488,0.336892
2010-04-15,-0.02076,0.643143,1.524771,-2.385892,0.505977,-0.169743,0.382645,-1.188857,-0.162401,-0.684142,0.728166,-0.770442,0.218237,0.418825,0.939715
2010-04-16,-0.001533,-0.588955,0.006971,-0.513198,0.172313,-2.461265,-0.392494,0.286886,0.321186,-0.608735,2.184593,0.531141,0.311463,0.657207,0.092887
2010-04-19,0.064978,-0.497317,-0.626686,2.746494,-0.227838,0.294278,-0.607795,-0.75305,0.164136,0.176517,1.245877,-1.199329,-0.108575,-0.801938,0.195226
2010-04-20,-0.017535,-0.060462,-0.390463,0.306458,-1.696654,-1.895856,-0.126598,-0.260173,0.456681,0.966972,2.12781,0.532726,-0.199189,-0.17235,0.411099
2010-04-21,0.057457,-0.795427,-0.582628,-0.252411,-0.196225,-0.169142,-0.448892,-1.012992,-0.589413,2.463902,1.156212,1.334581,0.374996,-0.349642,-0.932919
2010-04-22,0.026127,0.761016,-0.261254,-0.881049,-2.650283,-0.076908,-0.960747,0.346036,0.400288,0.308147,0.920476,-0.105465,0.030352,1.218925,0.950464
2010-04-23,0.002929,-0.79499,-0.5785,-0.364009,-1.459678,-1.288285,0.36055,-0.135967,0.863398,0.003324,2.090804,0.406869,-0.193727,1.556966,-0.466756
2010-04-26,-0.160413,-0.304576,1.305727,-1.847113,0.217428,-0.980127,-0.441958,0.599946,0.451103,-0.839592,2.029225,-0.747903,0.544893,0.421674,-0.408726
2010-04-27,0.057265,0.182609,-0.979085,-1.375294,0.083012,2.467808,0.089023,-0.305418,-1.119464,0.152494,-1.077857,1.136622,0.266412,0.203943,0.275193
2010-04-28,0.018223,0.60239,-1.209401,1.217763,0.098742,1.265933,1.170159,0.108214,-1.547001,0.38299,-1.364357,-0.584394,-0.91066,-0.259342,1.028965
2010-04-29,-0.03306,0.457979,1.177475,0.142546,-0.935792,-0.146409,-0.714076,-0.663559,1.133648,0.671542,1.67651,-0.454246,-0.272805,-2.16784,0.095026
2010-04-30,0.016452,0.229624,-1.763088,-0.302547,0.198294,-2.040227,0.010216,0.981602,1.055515,-0.07435,-1.049764,1.004075,0.63045,0.155711,0.964489
2010-05-03,-0.032625,0.020574,-0.080522,-0.309684,0.73512,1.493736,0.850054,-0.555681,-0.768362,-0.503943,1.525026,-0.701728,-0.583709,-2.054227,0.933346
2010-05-04,-0.014379,0.273019,-0.843115,-0.052722,-0.494368,1.680719,0.444613,-0.148349,0.258248,0.108013,-2.672594,-0.346809,0.344405,1.179009,0.269931
2010-05-05,-0.025199,1.160579,0.67687,-0.715251,-1.089625,0.421829,1.762194,0.728295,-0.10924,0.603028,-0.363072,-1.711239,-0.881395,-1.064022,0.581051
2010-05-06,0.053061,-0.849229,-2.185082,0.604832,-0.302221,0.36957,0.251055,0.713387,0.368263,-0.273457,-1.453264,1.942569,0.332232,0.331116,0.150229
2010-05-07,0.058915,0.116237,-1.907674,-0.064876,1.315644,0.639192,0.353256,1.494974,-1.23421,0.604106,-1.605931,-0.179626,0.566949,0.046115,-0.144155
2010-05-10,0.046608,0.03841,2.415395,-0.268364,0.191765,-1.328083,-0.825026,-0.500218,0.346824,-0.591942,1.812655,-0.42422,-0.432353,-0.484881,0.050038
2010-05-11,-0.03474,0.411424,0.193198,0.024246,0.197837,-0.087495,0.262676,-0.755262,-0.810927,-0.4689,-2.127598,1.648,1.402973,-0.94813,1.057956
2010-05-12,-0.018116,-0.859969,0.428391,-0.407714,1.176566,1.63024,-0.350258,-0.218777,0.285371,-1.758915,-1.79069,-0.089426,0.549339,0.606973,0.798869
2010-05-13,-0.022878,0.314056,-1.625007,-0.85541,-1.397071,-0.354023,-0.80501,1.262379,-0.382738,0.938527,0.145458,0.698557,0.62373,1.779614,-0.343061
2010-05-14,-0.018127,0.154357,-0.739555,0.368858,-0.321274,1.178952,0.575247,0.521361,-0.282756,0.71722,-0.082723,0.411502,0.387405,-3.041905,0.153313
2010-05-17,-0.031282,0.558123,-1.105298,-1.646229,1.193067,0.219119,0.424485,0.890679,1.346697,0.593665,0.097662,-0.562218,-0.516716,-1.850735,0.357701
2010-05-18,-0.011911,0.057683,-0.2971,-0.487872,-0.117873,-0.685454,0.287592,1.269638,0.245554,0.676301,-0.528016,1.583092,1.201192,-2.155206,-1.049532
2010-05-19,-0.067506,1.025324,-1.156454,0.953695,-0.477479,0.85802,0.174134,-0.325738,-1.022381,0.325428,-0.317765,-0.424666,-0.340918,2.206531,-1.477732
2010-05-20,0.033036,-1.251883,0.317232,-0.346124,-0.074599,0.80716,0.140288,0.458269,-1.451038,-0.625668,-0.36926,1.018716,-0.782561,2.441796,-0.28233
