Date,SPY_lead,SPY,JNJ,^IXIC
12/14/1993,-0.00134361,-0.007361509,-0.008758996,-0.010918657
12/15/1993,0.003356937,-0.00134361,0.014556206,0.001994098
12/16/1993,0.005481663,0.003356937,-0.005797209,0.00339418
12/17/1993,0.001341318,0.005481663,0.002903126,0.004885207
12/20/1993,-0.003358027,0.001341318,-0.011662122,0.001211078
12/21/1993,0.006702459,-0.003358027,0,-0.005963969
12/22/1993,-0.000667149,0.006702459,0.00584774,0.000582129
12/23/1993,0.005333291,-0.000667149,0.01447242,0.003472484
12/27/1993,0.001991594,0.005333291,0.019915305,0.003105738
12/28/1993,-0.001328389,0.001991594,0.005617461,0.004588307
12/29/1993,-0.003993732,-0.001328389,0.002797712,0.00511401
12/30/1993,-0.005351597,-0.003993732,0.005570672,0.00337764
12/31/1993,-0.002686477,-0.005351597,-0.002781841,0.00739075
1/3/1994,0.004026698,-0.002686477,0.008322567,-0.007805847
1/4/1994,0.002008613,0.004026698,-0.002766602,0.004556549
1/5/1994,0,0.002008613,-0.002774124,0.004857171
1/6/1994,0.005996496,0,-0.019635665,0.003028614
1/7/1994,0.011889512,0.005996496,0.011267282,0.003236679
1/10/1994,-0.001970226,0.011889512,0.01941885,0.004778205
1/11/1994,-0.003296722,-0.001970226,-0.022224101,-0.001488328
1/12/1994,-0.002642549,-0.003296722,-0.00281221,0.0017171
1/13/1994,0.003962535,-0.002642549,-0.014184384,0.001193897
1/14/1994,0,0.003962535,0,0.005695785
1/17/1994,0.0013172,0,0.008534563,-0.000164097
1/18/1994,-0.002637187,0.0013172,-0.01139663,0.001059837
1/19/1994,0.002637187,-0.002637187,-0.017341274,-0.004727293
1/20/1994,-0.001976041,0.002637187,-0.029587773,0.004739914
1/21/1994,-0.00396479,-0.001976041,0.005988795,0.001574992
1/24/1994,0,-0.00396479,-0.036479107,-0.004580658
1/25/1994,0.002644556,0,0.012308211,-0.005402551
1/26/1994,0.009204883,0.002644556,0.024170896,0.003059916
1/27/1994,0.002614418,0.009204883,0.011868776,0.005159104
1/28/1994,0.007152762,0.002614418,0.00294507,0.004592937
1/31/1994,-0.005197467,0.007152762,-0.00294507,0.004934189
2/1/1994,0.006493452,-0.005197467,-0.005917271,-0.004043269
2/2/1994,-0.004540359,0.006493452,0.011799733,0.002918342
2/3/1994,-0.023020627,-0.004540359,-0.005882463,-0.002228715
2/4/1994,0.004648381,-0.023020627,-0.008888924,-0.026044694
2/7/1994,0.000661096,0.004648381,-0.008968646,0.002467085
2/8/1994,0.003962535,0.000661096,0.023740033,0.004481728
2/9/1994,-0.008605756,0.003962535,-0.017622096,0.004881406
2/10/1994,0.003317661,-0.008605756,-0.006023645,-0.003961973
2/11/1994,0.00132556,0.003317661,0.012012206,-0.002594525
2/14/1994,0.005279735,0.00132556,0.005952097,0.005182413
2/15/1994,-0.000657778,0.005279735,0.00296314,0.005928009
2/16/1994,-0.005947518,-0.000657778,-0.011905117,0.003159081
2/17/1994,-0.005980883,-0.005947518,-0.012047561,-0.003007223
2/18/1994,0.009948992,-0.005980883,0.006041676,-0.001760526
2/22/1994,-0.002642549,0.009948992,-0.006041676,0.002911455
2/23/1994,-0.013325346,-0.002642549,-0.006079904,-0.002581904
2/24/1994,0.004684842,-0.013325346,-0.01226981,-0.012329993
2/25/1994,0,0.004684842,0.003082017,0.00555269
2/28/1994,-0.004013292,0,-0.012383937,0.0110641
3/1/1994,0.001339754,-0.004013292,0.006210714,-0.004882544
3/2/1994,-0.002681072,0.001339754,-0.003100961,-0.006577228
3/3/1994,0.002681072,-0.002681072,-0.012499874,0.00141583
3/4/1994,0.005340543,0.002681072,0,0.007580326
3/7/1994,-0.004003013,0.005340543,-0.003149622,0.0056761
3/8/1994,0.004667034,-0.004003013,0.003149622,-0.003692101
3/9/1994,-0.008015868,0.004667034,0.009390121,0.001173367
3/10/1994,0.005351597,-0.008015868,-0.012539743,-0.005005839
3/11/1994,0.001332675,0.005351597,0,0.000139372
3/14/1994,-0.00066537,0.001332675,0.003149622,0.004551179
3/15/1994,0.007967925,-0.00066537,0.003140077,0.000907802
3/16/1994,0,0.007967925,-0.009449099,0.006869648
3/17/1994,-0.000219087,0,-0.003169762,0.006064237
3/18/1994,-0.002664622,-0.000219087,0.003169762,9.95373E-05
3/21/1994,0.002664622,-0.002664622,0,-0.008281188
